X,Y,UNION,JURISDICCI,CAPITAL,FUENTE,XCOORD,YCOORD
4528795.99999647,6676019.4996083863,-2147483648,CORDOBA,CORDOBA,IGN,4528795.999996,6676019.499608
4529170.99999642,6676058.4996084133,-2147483648,CORDOBA,CORDOBA,IGN,4529170.999996,6676058.499608
4529506.99999639,6675908.4996083202,-2147483648,CORDOBA,CORDOBA,IGN,4529506.999996,6675908.499608
4529672.99999637,6676002.9996083779,-2147483648,CORDOBA,CORDOBA,IGN,4529672.999996,6676002.999608
4529873.99999634,6676082.9996084245,-2147483648,CORDOBA,CORDOBA,IGN,4529873.999996,6676082.999608
4530367.99999628,6676033.4996083966,-2147483648,CORDOBA,CORDOBA,IGN,4530367.999996,6676033.499608
4530511.499996261,6675916.99960832,-2147483648,CORDOBA,CORDOBA,IGN,4530511.499996,6675916.999608
4531066.99999619,6675687.4996081861,-2147483648,CORDOBA,CORDOBA,IGN,4531066.999996,6675687.499608
4531314.99999616,6675537.4996080976,-2147483648,CORDOBA,CORDOBA,IGN,4531314.999996,6675537.499608
4531406.99999615,6675533.4996080976,-2147483648,CORDOBA,CORDOBA,IGN,4531406.999996,6675533.499608
4531472.499996148,6675576.4996081199,-2147483648,CORDOBA,CORDOBA,IGN,4531472.499996,6675576.499608
4531585.499996135,6675611.4996081376,-2147483648,CORDOBA,CORDOBA,IGN,4531585.499996,6675611.499608
4531865.9999961,6675598.9996081376,-2147483648,CORDOBA,CORDOBA,IGN,4531865.999996,6675598.999608
4532029.99999607,6675574.4996081172,-2147483648,CORDOBA,CORDOBA,IGN,4532029.999996,6675574.499608
4532025.99999607,6675721.9996082094,-2147483648,CORDOBA,CORDOBA,IGN,4532025.999996,6675721.999608
4531997.499996078,6675779.4996082485,-2147483648,CORDOBA,CORDOBA,IGN,4531997.499996,6675779.499608
4531931.99999609,6675851.4996082922,-2147483648,CORDOBA,CORDOBA,IGN,4531931.999996,6675851.499608
4531841.499996104,6676031.4996084021,-2147483648,CORDOBA,CORDOBA,IGN,4531841.499996,6676031.499608
4531816.99999611,6676123.9996084571,-2147483648,CORDOBA,CORDOBA,IGN,4531816.999996,6676123.999608
4531913.499996096,6676224.4996085204,-2147483648,CORDOBA,CORDOBA,IGN,4531913.499996,6676224.499609
4532068.99999608,6676299.9996085707,-2147483648,CORDOBA,CORDOBA,IGN,4532068.999996,6676299.999609
4532341.499996042,6676226.4996085176,-2147483648,CORDOBA,CORDOBA,IGN,4532341.499996,6676226.499609
4532364.499996038,6676197.4996085009,-2147483648,CORDOBA,CORDOBA,IGN,4532364.499996,6676197.499609
4532462.499996024,6676195.4996085009,-2147483648,CORDOBA,CORDOBA,IGN,4532462.499996,6676195.499609
4532721.0,6676033.4996084021,-2147483648,CORDOBA,CORDOBA,IGN,4532720.999996,6676033.499608
4532995.499995957,6675685.4996081926,-2147483648,CORDOBA,CORDOBA,IGN,4532995.499996,6675685.499608
4533226.99999593,6675672.9996081851,-2147483648,CORDOBA,CORDOBA,IGN,4533226.999996,6675672.999608
4533351.99999591,6675697.4996081945,-2147483648,CORDOBA,CORDOBA,IGN,4533351.999996,6675697.499608
4533751.99999587,6675660.4996081758,-2147483648,CORDOBA,CORDOBA,IGN,4533751.999996,6675660.499608
4533950.499995844,6675726.4996082196,-2147483648,CORDOBA,CORDOBA,IGN,4533950.499996,6675726.499608
4534153.499995816,6675896.4996083193,-2147483648,CORDOBA,CORDOBA,IGN,4534153.499996,6675896.499608
4534413.99999578,6675662.9996081833,-2147483648,CORDOBA,CORDOBA,IGN,4534413.999996,6675662.999608
